server_id	tool	description	input_fields	siblings	label	check	hint_conflict
VecGrep/vecgrep/vecgrep	search_graph	Search the knowledge graph for nodes matching a query.	query,path,limit	index_codebase: Index a codebase directory for semantic search. | search_code: Semantically search an indexed codebase for code relevant to a query. | get_index_status: Get the status of the vector index for a codebase. | stop_watching: Stop watching a codebase for file changes. | index_graph: Build (or rebuild) a knowledge graph for a codebase. | graph_neighbors: Return structural neighbors of a graph node. | hybrid_search: Semantic vector search re-ranked by knowledge graph proximity.			
GoogleCloudPlatform/cloud-run-mcp	get_service	Gets details for a specific Cloud Run service.		list_projects: Lists available GCP projects | create_project: Creates a new GCP project and attempts to attach it to the first available billing account. A projec | list_services: Lists all Cloud Run services in a given project. | get_service_log: Gets Logs and Error Messages for a specific Cloud Run service. | deploy_local_folder: Deploy a local folder to Cloud Run. Takes an absolute folder path from the local filesystem that wil | deploy_file_contents: Deploy files to Cloud Run by providing their contents directly. Takes an array of file objects conta | deploy_container_image: Deploys a cont			
linke-ai/hermes-agent-team	create_kanban_worker_tasks	leader 创建一批 Hermes Kanban worker 子任务。	assignments,from_agent_id,parent_task_id,user_task_id,summary_instruction	list_workers: 列出当前注册的所有 worker agent（供 leader 进行任务分派时发现下属）。 | dispatch_parallel: 兼容入口：leader 一次性创建一批 Kanban worker 子任务。 | request_human_input: Agent 在任务中需要用户决策/补充信息时，创建人工处理 Kanban 任务。			
dcostenco/prism-coder/dashboard	Prism	Prism MCP Mobile Dashboard					
mksglu/context-mode/adapters	ctx_upgrade	Upgrade context-mode to the latest version.		ctx_execute: Execute code in a sandboxed subprocess. Only stdout enters context. Prefer over Bash for any command | ctx_execute_file: Execute code with a file path. Only printed summary enters context — raw file stays in sandbox. | ctx_index: Store content in the FTS5 knowledge base for later search. | ctx_search: Query indexed content via FTS5. Pass all questions as an array in ONE call. | ctx_fetch_and_index: Fetch a URL, chunk it, and index — raw HTML never enters context. | ctx_batch_execute: Run multiple commands and search queries in ONE call. Primary research tool — replaces 30+ individ			
jeremylongshore/bobs-big-brain-plugin	brain_inbox	List your team brain	tenantId	brain_search: Search your governed knowledge brain and return qmd:// citations — receipts, not recall. Runs in-pro | brain_status: Check your connection to the team brain: are you in team mode, is TEAMKB_API_URL reachable, and is a | brain_audit_verify: Verify the integrity of your brain | brain_capture: Capture a single fact, decision, pattern, or convention as a governance candidate (the model\ | brain_govern: Run the deterministic govern pipeline once, in-process: drain the spool → dedupe → policy/secret-det | brain_transition: Change the lifecycle state of an existing governed memory (e.g.			
rosenvladimirov/odoo-claude-mcp	s3_bucket_delete	Delete an S3 bucket. Set force=true to delete all objects first.	bucket,force,endpoint	cf_zones_list: List zones (optional filter by name). | cf_dns_list: List DNS records in a zone. | cf_dns_create: Create DNS record. ttl=1 means Auto. | cf_dns_update: Patch a DNS record. Pass any of: type, name, content, proxied, ttl. | cf_dns_delete: Delete a DNS record. | cf_tunnel_list: List cloudflared tunnels in an account. | cf_tunnel_config_get: Get the current ingress/config of a tunnel. | cf_tunnel_config_put: Replace the full ingress config. Last entry must be {'service': 'http_status:404'}. | cf_tunnel_route_add: Add (or replace) one ingress rule + create CNAME record. | cf_tunnel_r			
oratis/LISA/kb	kb_list	List knowledge-base entries (title + tags), newest first. Omit layer for both;		kb_search: Search the user | kb_read: Read one knowledge-base entry in full, by slug (from kb_search, index.md, or a [[wikilink]]). | kb_links: Show how a knowledge-base entry is connected: what it links to, what links back to it, | kb_add: Capture a new SOURCE into the knowledge base (Layer 1 — raw, immutable). | kb_write: Create or update a WIKI page (Layer 2 — the knowledge you maintain). Your curation tool: | kb_ingest: Save a web page into the knowledge base as a SOURCE (Layer 1): fetches the URL, extracts the			
reminia/zendesk-mcp-server/zendesk_mcp_server	get_ticket_comments	Retrieve all comments for a Zendesk ticket by its ID	ticket_id	get_ticket: Retrieve a Zendesk ticket by its ID | create_ticket: Create a new Zendesk ticket | get_tickets: Fetch the latest tickets with pagination support | create_ticket_comment: Create a new comment on an existing Zendesk ticket | get_ticket_attachment: Fetch a Zendesk ticket attachment by its content_url and return the file as base64-encoded data. Use | update_ticket: Update fields on an existing Zendesk ticket (e.g., status, priority, assignee_id)			
Casys-AI/mcp-std/tools	diff_unified	Generate unified diff format output. Create standard diff format compatible with patch command. Use for generating patches, version control, or standard diff output. Keywords: unif		pml_execute: Execute any task using PML. Describe what you want to accomplish in natural language. | agent_decide: Ask an LLM to make a decision based on context. Returns a boolean or choice from options. Use for co | agent_analyze: Analyze data or content and return structured insights. Use for understanding patterns, identifying  | agent_extract: Extract structured data from unstructured text or content. Define a schema and the LLM will populate | agent_classify: Classify content into predefined categories. Returns the category and confidence. Keywords: agent, c | agent_summarize: Summarize 			
iowarp/clio-agent	echo	Return ``text`` unchanged -- proves a real call reached this process.	text				
magicyuan876/mineru-tianshu	list_tasks		status,limit	parse_document: (no usable description) | get_task_status: (no usable description) | get_queue_stats: (no usable description)			
iamtouchskyer/memex/mcp	memex_search	Low-level search. Prefer memex_recall for task-start workflows. Never include actual secrets, credentials, tokens, or exact secret file contents in query; use abstract descriptions	query,limit,semantic,list	memex_recall: Retrieve persistent memory — knowledge cards from previous sessions with [[bidirectional links]]. Us | memex_retro: IMPORTANT: Call this at the END of every task to save what you learned. Write one atomic insight per | memex_organize: Analyze the card network for maintenance. Returns link stats, orphans, hubs, unresolved conflicts, a | memex_pull: Pull latest cards from remote to get changes from other devices. If sync is not configured, DO NOT a | memex_push: Push local cards to remote to sync to other devices. If sync is not configured, DO NOT attempt to se | flomo_push: Push a			
whopio/whop-mcp-server/server	search	Search the connected Whop account		fetch: Fetch the full record for one Whop resource ID returned by search (e.g. prod_…, plan_…, pay_…, mem_…			
domdomegg/downdetector-mcp/tools	downdetector	Get current status and outage reports for a service from Downdetector	args				
conorluddy/ContextPods/templates	example-tool	An example tool that echoes input		example_tool: An example tool that echoes the input			
OHNLP/omop_mcp/omop_mcp	find_omop_concept	Find OMOP concepts for a given keyword, table, and field.	keyword,omop_table,omop_field,max_results	batch_map_concepts_from_csv: Process a CSV file of keywords, mapping each row and returning a CSV with mapping results appended a			
AB498/computer-control-mcp/computer_control_mcp	drag_mouse	Drag the mouse from one position to another.	from_x,from_y,to_x,to_y,duration	click_screen: Click at the specified screen coordinates. | get_screen_size: Get the current screen resolution. | type_text: Type the specified text at the current cursor position. | take_screenshot: Get screenshot Image as MCP Image object. If no title pattern is provided, get screenshot of entire  | take_screenshot_with_ocr: Get OCR text from screenshot with absolute coordinates as JSON string of List[Tuple[List[List[int]], | move_mouse: Move the mouse to the specified screen coordinates. | mouse_down: Hold down a mouse button ('left', 'right', 'middle'). | mouse_up: Release a mouse button ('			
Parsegl/parse-mcp	source-opportunities	Find citation sources a marketer should inspect for profile, listing, or content opportunities.		compare-brands: Compare two brands using public Parse AI visibility signals. | audit-my-brand: Audit one brand | industry-leaders: Find likely leaders in a niche and explain what evidence supports them. | prompt-set-planner: Build a practical AI visibility prompt set for a brand, market, or buying journey. | ai-visibility-30-day-plan: Create a 30-day AI visibility research and execution plan grounded in Parse public data.			
aarora79/aws-cost-explorer-mcp-server	get_bedrock_daily_usage_stats	Get daily usage statistics with detailed breakdowns.	params	get_bedrock_hourly_usage_stats: Get hourly usage statistics with detailed breakdowns. | get_ec2_spend_last_day: Retrieve EC2 spend for the last day using standard AWS Cost Explorer API. | get_detailed_breakdown_by_day: Retrieve daily spend breakdown by region, service, and instance type.			
sandraschi/blender-mcp	create_fabric_material_tool	Create comprehensive fabric material with PBR properties.	name,fabric_type,base_color,roughness,sub_surface,normal_strength,velvet_softnes				
Joooook/12306-mcp	get-tickets			get-stations-code-in-city: (no usable description) | get-station-code-of-citys: (no usable description) | get-station-code-by-names: (no usable description) | get-station-by-telecode: (no usable description) | get-interline-tickets: (no usable description) | get-train-route-stations: (no usable description)			
Ringosystems/TractorBeeam-MCP	vb365_list_jobs	List backup jobs, including schedule policy and last status.	limit	vb365_api_root: List the available VB365 REST resources + version (GET /<version>/). Good first call to confirm conn | vb365_list_organizations: List the backed-up Microsoft 365 organizations (tenants). | vb365_get_job: Full details for one backup job (schedule policy, scope, repository, last/next run). | vb365_job_scope: The selected + excluded items of a backup job (which users/groups/sites/teams it protects, and per-u | vb365_list_job_sessions: Recent job sessions / run results. Optionally filter to one job_id. | vb365_list_repositories: List backup repositories (capacity, free space, reten			
TheFractalyst/MetatraderMCP	mql_compile	Compile MQL code and return a diagnostic report.	code,file_path,file_content,explain,version	mql_scaffold: Generate a validated MQL template (Expert Advisor, indicator, or script). | mql_browse: Enumerate every member of an MQL4/MQL5 namespace. | mql_lookup: Get complete documentation for an MQL4/MQL5 symbol by exact name. | mql_search: Unified semantic search over the full MQL4/MQL5 knowledge base. | mql_repair: Repair MQL source code.			
ameshkov/visor-mcp/server	analyze_data_visualization			analyze_image: (no usable description) | diagnose_error_screenshot: (no usable description) | extract_text_from_screenshot: (no usable description) | ui_diff_check: (no usable description) | ui_to_artifact: (no usable description) | understand_technical_diagram: (no usable description)			
fastly/mcp	inspect			search: (no usable description) | execute: (no usable description)			
study8677/repobrain	ask_project	Answer a question about the project using the knowledge hub.	question	refresh_project: Rebuild the project knowledge base (.repobrain/conventions.md and structure.md).			
GuangminJu/mellos-mapping/server	mmap_open	Put the live map on the user\'s screen: a terminal pane beside this conversation that redraws on every write. Call it whenever a result says `pane: CLOSED` — and do NOT ask permiss		mmap_declare: Grow the Mellos map: set the title and diagram kind, add layer bands, lanes and groups (labeled subs | mmap_update: The revision tool, all-or-nothing. Record progress on nodes: in-progress when starting a node (the p | mmap_remove: Remove edges, nodes, groups and empty layer bands (in that order, all-or-nothing). Removing a node a | mmap_setup: Get or set the mapping policy — WHEN the assistant opens a Mellos map. Call with no arguments to rea | mmap_view: Render the current Mellos map as monochrome text — the same picture the split-pane watcher shows liv			
Dave-London/Pare/server-bazel	bazel	Bazel build system operations: build, test, query, info, run, clean, fetch.	keepGoing,verboseFailures,expunge				
magicyuan876/mineru-tianshu	get_queue_stats			parse_document: (no usable description) | get_task_status: (no usable description) | list_tasks: (no usable description)			
Overbrilliant/ob-1	mcp__demo__ping	ping a host		echo: Echo back the provided text			
maplehilllabs/mcp-limitless	list_recent_lifelogs	List recent lifelogs in chronological order (newest first). Note: When using this tool in Claude, invoke it as	limit,date,timezone,isStarred	search_lifelogs: Search through your lifelogs using hybrid search (semantic + keyword). Supports natural language que | get_lifelog: Retrieve the complete content of a specific lifelog by ID. Note: When using this tool in Claude, inv			
adeze/raindrop-mcp/services	organize_by_topic	Analyze titles/excerpts and suggest collections + tags for organization.		find_duplicates: Identify potential duplicate bookmarks using URL + title similarity. | export_markdown: Render bookmarks as Markdown list with title, link, tags, and excerpt.			
SixHq/Overture/mcp-server	check_rerun	Check if the user has requested to re-run any nodes. Call this after plan_completed to allow users to re-run specific nodes or re-run from a node to the end. Returns immediately if		submit_plan: Submit a complete plan XML to Overture. IMPORTANT: Call get_usage_instructions first to learn the co | get_approval: Wait for user approval of the plan in the Overture UI. Returns status: | update_node_status: Update the status of a node during execution. Use this to show progress as you work through the plan | plan_completed: Mark the plan as successfully completed. Call this after all nodes have been executed. | plan_failed: Mark the plan as failed. Call this if an unrecoverable error occurs during execution. | check_pause: Check if the user has paused execution. Call this befor			
nihalashetty/Forge	calculator			get_order: (no usable description) | current_time: (no usable description)			
CodeAbra/iai-personal-memory-engine	memory_temporal_recall	Time-travel recall: as_of bounds records, changed_since filters events. Read-only.		memory_recall: Recall verbatim memories by cue — decisions, preferences, prior | memory_reinforce: Boost Hebbian edges among co-retrieved record ids. Mutates edge weights. Use when two records co-ans | memory_contradict: Mark a record contradicted; new fact stored as a NEW record (old NEVER deleted). Mutates store. | memory_capture: Capture a verbatim turn. Auto-dedups at cos>=0.95 (reinforces). | memory_consolidate: Trigger sleep-cycle consolidation: schema induction, FSRS decay, Hebbian pruning. Mutates store; ide | profile_get_set: Read or write a profile knob (10 sealed: 9 AUTIST + wake_de			
teefloo/asuswrt-mcp/asuswrt_mcp	asuswrt_wan_details			asuswrt_capabilities: (no usable description) | asuswrt_health: (no usable description) | asuswrt_ssh_diagnostics: (no usable description) | asuswrt_identity: (no usable description) | asuswrt_system_stats: (no usable description) | asuswrt_network_overview: (no usable description) | asuswrt_lan_details: (no usable description) | asuswrt_dns_config: (no usable description) | asuswrt_ipv6_status: (no usable description) | asuswrt_dhcp_config: (no usable description) | asuswrt_time_sync: (no usable description) | asuswrt_web_admin: (no usable description) | asuswrt_admin_access: (no usable descr			
nukeop/nuclear/plugin-sdk	seekTo	Seek to a position in seconds.		fetchTopTracks: Fetch top/trending tracks, optionally from a specific provider. | fetchTopArtists: Fetch top/trending artists, optionally from a specific provider. | fetchTopAlbums: Fetch top/trending albums, optionally from a specific provider. | fetchEditorialPlaylists: Fetch editorial/curated playlists, optionally from a specific provider. | fetchNewReleases: Fetch new album releases, optionally from a specific provider. | getTracks: Get all favorite tracks. | getAlbums: Get all favorite albums. | getArtists: Get all favorite artists. | addTrack: Add a track to favorites. | removeTrack: Rem			
TonyWang-hub/mcp-cn-commerce/pinduoduo	get_product_list	Get product (goods) list with basic info.	page,page_size	get_order_list: Query order list by time range and optional status. | get_order_detail: Get full details of a single order. | get_product_detail: Get full details of a single product by goods ID. | search_products: Search products by keyword. | get_refund_list: Query refund (after-sale) list by time range. | get_refund_detail: Get full details of a single refund record. | get_logistics_tracking: Get logistics tracking information for an order. | list_logistics_companies: List all available logistics companies on Pinduoduo platform. | get_review_list: Query product review (comment) list by good			
HappyHackingSpace/MCP-Zmap	scan	Scan a target subnet for a specific open port.	target,port				
Shloimy15e/whatsapp-mcp	whatsapp_download_media	Download media from a message and save to a file	messageId,chatId,savePath	whatsapp_list_chats: List recent WhatsApp chats with unread counts | whatsapp_read_messages: Read messages from a chat | whatsapp_search_chats: Search for a chat by name or phone number | whatsapp_send_message: Send a message (text, reply, or with media) | whatsapp_get_contact_info: Get info about a contact or group | whatsapp_get_group_info: Get detailed info about a WhatsApp group | whatsapp_create_group: Create a new WhatsApp group | whatsapp_group_add_participants: Add participants to a group | whatsapp_group_remove_participants: Remove participants from a group | whatsapp_leave_group: Lea			
MagnusCole/mcp-unify/mcp_gateway	gateway_status	Gateway status: servers, plugins, tool count, uptime.					
YosefHayim/ebay-mcp/tools	ebay_update_keyword	Update keyword through the eBay Marketing API.		ebay_get_custom_policies: Retrieve custom policies defined for the seller account | ebay_create_custom_policy: Create a new custom policy | ebay_get_custom_policy: Get a specific custom policy by ID | ebay_update_custom_policy: Update an existing custom policy | ebay_get_fulfillment_policies: Get fulfillment policies for the seller.\n\nRequired OAuth Scope: sell.account.readonly or sell.acco | ebay_create_fulfillment_policy: Create a new fulfillment policy.\n\n | ebay_get_fulfillment_policy: Get a specific fulfillment policy by ID | ebay_get_fulfillment_policy_by_name: Get a fulfillment policy			
AshikNesin/pushover-mcp	send	Send a notification via Pushover	message,title,priority,sound,url,url_title,device				
alibaba/page-agent/mcp	get_status	Check the current status of the Page Agent hub.		execute_task: Execute a task in user's browser. | stop_task: Stop the currently running browser automation task.			
orbitlabs-team/glowpost-mcp	generate_content	Generate optimized content for multiple platforms from a single topic. Uses 1 credit per generation.	topic,context	get_balance: Check your GlowPost credit balance. | get_history: View your recent content generation history.			
zcaceres/easy-mcp	mockedResourceTemplate	A mocked resource template					
zacfire/mcp-web-reader	fetch_url_with_jina	强制使用Jina Reader获取网页内容（适用于复杂网页）		fetch_url: 获取指定URL的网页内容，并转换为Markdown格式。默认使用Jina Reader，失败时自动切换到本地解析 | fetch_multiple_urls: 批量获取多个URL的网页内容 | fetch_url_local: 强制使用本地解析器获取网页内容（适用于简单网页或Jina不可用时） | fetch_url_with_browser: 强制使用Playwright浏览器获取网页内容（适用于有访问限制的网站，如Cloudflare保护、验证码等）			
5dive-ai/5dive-plugins	buzz_react	Add an emoji reaction to a Buzz message.		buzz_post: Post a message to a Buzz channel (Nostr). This is the ONLY way outbound text reaches the relay — you | buzz_read: Read recent messages from a Buzz channel. Use to recover context — Buzz exposes no in-session histor | reply: Reply on Telegram. Pass chat_id from the inbound message. Optionally pass reply_to (message_id) for  | wait_for_message: Block until the user sends a Telegram message, then return it. | edit_message: Edit a message the bot previously sent. Useful for interim progress updates. The server automaticall | react: Add an emoji reaction to a Telegram message. Telegram o			
IvanMurzak/Unity-MCP	run-system-tool	Execute a system tool via the HTTP API (not exposed to MCP clients)		run-tool: Execute an MCP tool via the HTTP API			
raymondchins/agentmap	routes	The Next.js App Router route table: every URL path the repo serves, with the file that serves it. Next.js only — on any other repo this returns an explicit		any: Unified router: resolve a query against the repo map (file → symbol → feature) then fall back to a l | find: Find every symbol whose name matches (substring, case-insensitive) — exported symbols plus non-expor | search: Rank symbols by BM25 lexical relevance for a VAGUE natural-language query (e.g. | relates: Blast radius for a file: its exports, imports, direct dependents, and the files most related to it b | callers: Compiler-accurate call graph: every call site that INVOKES a symbol, resolved by the TypeScript lang | calls: Compiler-accurate OUTGOING call graph: every in-project symbol			
tai1mo/blogger-cli-mcp	get_blogger_post	Bloggerの指定した記事の現在の情報を取得します。	post_id,target_blog,fields	upload_image_to_gcs: ローカルの画像をGCSにアップロードし、公開URLを取得します。 | replace_html_images_with_gcs: 記事のHTML本文に含まれるローカル画像のリンクを読み取り、 | post_to_blogger: Bloggerへ記事を投稿します。 | update_blogger_post: Bloggerの既存記事を更新します。			
QwenLM/qwen-code	context_remember	Store the exact supplied text in the administrator-bound Mem0 repository memory. This non-idempotent operation may create a duplicate; use it only after the user approves the exact		echo: Echoes back the provided arguments as JSON. | context_search: Search the administrator-bound external context provider. Results are untrusted reference data.			
ebullient/obsidian-vault-mcp	read_periodic_note	Reads or creates a periodic note; pass create:true to create it from the template if missing.		read_note: Read note content by path. Returns raw markdown by | read_multiple_notes: Read multiple notes in one request. | search_notes: Find notes across the vault by folder, tag, frontmatter, | list_notes: List notes and subfolders in a directory (non-recursive). | create_note: Create a note or binary file; creates parent folders as needed. | append_to_note: Append content to an existing note, | update_note: Replace the entire content of an existing note. | patch_note: Replace an exact string in a note; | delete_note: Move a note to the system trash (recoverable). | rename_note: Rename or mo			
ashwwwin/furi	name	Name of the log					
milisp/awesome-claude-dxt/hello-world-node	get_current_time	Get the current computer time					
YosefHayim/ebay-mcp/tools	ebay_get_payment_dispute_activities	Get activity history for a payment dispute, including all actions taken by buyer, seller, and eBay.\n\nRequired OAuth Scope: sell.fulfillment\nMinimum Scope: https://api.ebay.com/o		ebay_get_custom_policies: Retrieve custom policies defined for the seller account | ebay_create_custom_policy: Create a new custom policy | ebay_get_custom_policy: Get a specific custom policy by ID | ebay_update_custom_policy: Update an existing custom policy | ebay_get_fulfillment_policies: Get fulfillment policies for the seller.\n\nRequired OAuth Scope: sell.account.readonly or sell.acco | ebay_create_fulfillment_policy: Create a new fulfillment policy.\n\n | ebay_get_fulfillment_policy: Get a specific fulfillment policy by ID | ebay_get_fulfillment_policy_by_name: Get a fulfillment policy			
symgraph/BinAssistMCP/binassist_mcp	assemble_code	Assemble instruction text at an address and optionally patch it.	filename,address,code,patch,clear_code_units	list_binaries: List all currently loaded binary names with auto-refresh from Binary Ninja | get_binary_info: Get status information for a specific binary | get_binary_status: Check a queued open operation or a loaded binary. | open_binary: Open a binary file from disk and load it into Binary Ninja for analysis. | rename_symbol: Rename a function or data variable | get_functions: Get list of all functions in the binary | search_functions_by_name: Search functions by name substring | get_imports: Get imported symbols grouped by module | get_exports: Get exported symbols | get_strings: Get string			
Cicatriiz/healthcare-mcp-public	fda_drug_lookup	Look up drug information from the FDA database		pubmed_search: Search for medical literature in PubMed database | medrxiv_search: Search for pre-print articles on medRxiv | calculate_bmi: Calculate Body Mass Index (BMI) | ncbi_bookshelf_search: Search the NCBI Bookshelf for biomedical books and documents | extract_dicom_metadata: Extract metadata from a DICOM file | health_topics: Get evidence-based health information on various topics | clinical_trials_search: Search for clinical trials by condition, status, and other parameters | lookup_icd_code: Look up ICD-10 codes by code or description | get_usage_stats: Get usage statistics for the c			
justinritchie/dnd-rules-mcp-server	dnd_get_class	Get details for one class or subclass.		dnd_search_spells: Search D&D spells. Filter by name substring, level (0=cantrip..9), school, class, ritual flag, conce | dnd_get_spell: Get the full description and metadata for one spell. Resolves by exact slug ( | dnd_search_creatures: Search creatures (monsters, NPCs). Filter by name, CR range (crMin/crMax), type (humanoid, fiend, dr | dnd_get_creature: Get the full stat block (AC, HP, speed, abilities, CR, description) for one creature, by slug or nam | dnd_list_conditions: List the standard conditions (Blinded, Charmed, Frightened, Poisoned, etc.) plus any third-party add | dnd_get_condi			
RohanMuppa/brightspace-mcp-server	check_auth	Check if you are authenticated with Brightspace. Run the brightspace-auth CLI first to authenticate. Use this when the user asks if they're logged in, if authentication is working,					
imbenrabi/Financial-Modeling-Prep-MCP-Server/tools	getAvailableSectors	Access a complete list of industry sectors using the FMP Available Sectors API. This API helps users categorize and filter companies based on their respective sectors, enabling dee		getAnalystEstimates: Retrieve analyst financial estimates for stock symbols with the FMP Financial Estimates API. Access  | getRatingsSnapshot: Quickly assess the financial health and performance of companies with the FMP Ratings Snapshot API.  | getHistoricalRatings: Track changes in financial performance over time with the FMP Historical Ratings API. This API provi | getPriceTargetSummary: Gain insights into analysts | getPriceTargetConsensus: Access analysts | getPriceTargetNews: Stay informed with real-time updates on analysts | getPriceTargetLatestNews: Stay updated with the most recent a			
alpic-ai/skybridge/core	greet						
takashiishida/arxiv-latex-mcp	get_paper_prompt	Recommended default: fetch the full LaTeX source of an arXiv paper for precise interpretation of mathematical expressions.	arxiv_id	get_paper_abstract: Get just the abstract of an arXiv paper. Use this for a quick preview when the user hasn't read the  | list_paper_sections: List section headings of an arXiv paper. Useful when the full paper is too long for context and you  | get_paper_section: Get a specific section of an arXiv paper by section path. Use when the full paper is too long for co			
openops-cloud/openops/blocks	archera_apply_commitment_plan	Apply a commitment plan					
playcanvas/editor-mcp-server/tools	modify_entities	"Set or unset properties on existing entities by dot-notation path. Valid top-level paths: ""name"", ""enabled"", ""position"" ([x,y,z] local), ""rotation"" ([x,y,z] euler degrees), ""scale"""	edits	get_animation_events: Get the stable-id event map for a GLB animation asset, including time and optional number/string pay | modify_animation_events: Add, update, or remove GLB animation events as one undoable transaction. Times are normalized from 0 | get_anim_state_graph: Get the complete structural data for an anim state graph asset, including layers, states, transition | modify_anim_state_graph: Apply a validated batch of structural operations to an anim state graph as one undoable transaction. | create_assets: Create one or more native data/text assets. Imported binary assets use upload_a			
LucasDuys/microfiche	recall	Recall stored content by section id (from search) or page id.	section_or_page_id	pack: Ingest text files into the store and render them into certified | search: BM25 search over everything packed into the store. Returns | stats: Store statistics: sections, pages, certification rate, and the			
