server_id	tool	description	input_fields	siblings	label	check	hint_conflict
Devansh-365/infographic-mcp	search_infographic_images	Search specifically for infographic images with optimized filters.	query,num_results,aspect_ratio	search_infographics, search_infographics_by_source	A0	-	n
zaydiscold/robinhood-cli-mcp-api	robinhood_movers	S&P 500 top movers: symbol + day move% + price, inline. direction up (gainers) or down (losers). Discovery / crowd-momentum surface. Same engine as the CLI `movers` command. Live r	direction,limit	robinhood_api_map_summary, robinhood_api_map_directory, robinhood_brokerage_describe, robinhood_recipes, robinhood_options_order_flow, robinhood_options_diagnostics, robinhood_brokerage_routes, robinh	A0	-	n
bitflight-devops/mcp-json-yaml-toml/mcp_json_yaml_toml	data_query	Extract specific data, filter content, or transform structure without modification.	file_path,expression,output_format,cursor,document_index	constraint_validate, constraint_list, data_convert, data_merge, data, data_diff, data_schema	A0	-	n
partymola/monzo-mcp/monzo_mcp	monzo_list_pots	List all pots (savings buckets) for a Monzo account.	account_type	monzo_list_accounts, monzo_get_balance, monzo_spending, monzo_sync, monzo_list_transactions, monzo_search_transactions	A0	-	n
ntk148v/mcp-server-template	get_forecast	Get weather forecast for a location.	latitude,longitude	get_alerts	A0	-	n
Avatar-stack/plotbase-mcp	recommend_figure	根据用户的数据特征描述与研究绘图目标，智能推荐 PlotBase 库中最契合的科研图表方案。	data_description,goal	list_categories, search_figures, get_figure_archive, create_figure_archive, render_figure_template	A0	-	n
samueljayasingh/WhatsAppMCP	download_media	Download media from a WhatsApp message and get the local file path.	message_id,chat_jid	search_contacts, list_messages, list_chats, get_chat, get_direct_chat_by_contact, get_contact_chats, get_last_interaction, get_message_context, send_message, send_file, send_audio_message	A0	-	n
Daniel-Barta/mcp-rag-server	read_file	Read a specific file under		rag_query, list_files	A0	-	n
Sequenzy/mcp/tools	upload_image_asset	Upload an image to the selected company		list_ab_tests, get_ab_test, get_ab_test_stats, restart_ab_test, update_ab_test, add_ab_test_variant, delete_ab_test, get_account, select_company, get_app_urls, create_company, get_company, get_shopify	A0	-	n
uysalserkan/gcp-storage-mcp	create_bucket	Create a new GCS bucket.	bucket_name,location,storage_class	list_projects, get_current_project, list_buckets, delete_bucket, get_bucket_info, bucket_exists, list_blobs, list_folders, upload_blob, download_blob, delete_blob, get_blob_info, get_blob_url, blob_ex	A2	After create_bucket, call list_buckets and expect the new bucket to appear.	n
MetaBrain-Labs/ComfyUI-MCP-Server-TypeScript/tools	cui_get_task_detail	tool.cui_get_task_detail.description		get_core_manual, interrupt_prompt, list_models, mount_workflow, get_prompt_result, queue_custom_prompt, queue_prompt, save_custom_workflow, save_task_assets, get_system_status, upload_assets, get_work	A0	-	n
dgahagan/homebox-mcp	log_maintenance	Add a maintenance-log entry to an item (assetId / alias field / exact	identifier,name,description,completed_date,scheduled_date,cost	search_items, get_item, list_locations, location_contents, list_tags, warranties_expiring, create_item, attach_document, list_attachments, get_attachment, rename_attachment, import_csv, create_locatio	A2	After log_maintenance, call get_item and expect the maintenance entry to be reflected.	n
eraincc/emlog-mcp	search_articles	Search articles by keyword, tag, or category	keyword,tag,sort_id,page,count,order	create_article, update_article, get_article, like_article, add_comment, get_comments, create_note, upload_file, get_user_info, get_draft_list, get_draft_detail	A2	After create_article/update_article, call get_article and expect the created or updated article.	n
sdebruyn/fabric-dw-mcp-cli/fabric_dw	list_capabilities	List all available MCP tools grouped by domain.		get_audit_settings, enable_audit, disable_audit, set_audit_action_groups, add_audit_group, remove_audit_group, set_audit_retention, clear_cache, generate_dbt_profile, list_functions, get_function, lis	A0	-	n
Kaago/openpapers-mcp/openpapers	search_papers		query,num_results,year_from,year_to	get_paper, find_oa_pdf, download_pdf, research_topic	A0	-	n
Cyreslab-AI/builtwith-mcp-server/handlers	domain_lookup	Get technology stack information for a specific domain		technology_search	A0	-	n
cyanheads/pubchem-mcp-server/mcp-server	pubchem-compound-bioactivity	Bioassay activity profile for a PubChem compound by CID. Returns up to 25 assays; use pubchem_get_bioactivity to filter by outcome or molecular target, raise the cap, and page thro	params,cid	pubchem-assay, pubchem-compound-image, pubchem-compound-safety, pubchem-compound-xrefs, pubchem-compound	A0	-	n
caitao-ct/knowledge-base	search_knowledge	语义搜索知识库，返回最相关的知识片段（包含组件用法、业务规则、编码规范）	query,top_k,format	get_document, refresh_index	A2	After refresh_index, call search_knowledge and expect newly indexed content to be searchable.	n
KirtiJha/fusion-mcp-hub	text	text			A0	-	n
gergototh1/magyar-jogszabaly-mcp/tools	build_legal_stance	Build a comprehensive set of citations for a legal question by searching across all Hungarian statutes simultaneously.		about, list_sources, search_legislation, get_provision, validate_citation, format_citation, check_currency, get_eu_basis, get_hungarian_implementations, search_eu_implementations, get_provision_eu_bas	A0	-	n
Kyle-Undefined/gandr	read_file	Read the contents of a file from the WSL filesystem directly. Use for quick file reads that do not require Claude Code reasoning - faster and cheaper than weaving through Gandr.		read_file_range, write_file, list_dir, delete_file, delete_dir, move_file, file_exists, stat_path, create_dir, append_file, copy_file, read_dir_tree, search_files, grep_content	A2	After write_file, call read_file for the same path and expect the new contents.	n
Dreamfutura-Stephen/oh-my-deepseek/tools	grep	Search file contents using regular expressions. Returns matching file paths and line content.		bash, read, write, edit, glob	A2	After write/edit, call grep for the changed text and expect the matches to change.	n
blofin/blofin-mcp/tools	get_algo_order_history	Get algo order history.	instId,algoId,clientOrderId,state,orderType,after	get_balance, get_positions, get_leverage_info, set_leverage, get_margin_mode, set_margin_mode, get_position_mode, set_position_mode, get_account_config, get_asset_balances, fund_transfer, get_fund_tra	A0	-	n
tosin2013/documcp/tools	validate_diataxis_content	Validate the accuracy, completeness, and compliance of generated Diataxis documentation		change_watcher, generate_contextual_content, populate_diataxis_content, sync_code_to_docs, update_existing_documentation	A0	-	n
prometeoapi/prometeo-mcp	banking_get_clients	Get list of clients for an active session.	session_key	validate_account, get_validation_result, get_tasks, banking_login, banking_select_client, banking_get_accounts, banking_get_movements, banking_logout, crossborder_create_intent, crossborder_create_pay	A0	-	n
peakmojo/mcp-server-zoom-noauth	zoom_refresh_token	Refresh the Zoom OAuth2 access token using the refresh token and client credentials for API access	zoom_access_token,zoom_refresh_token,zoom_client_id,zoom_client_secret	zoom_list_recordings, zoom_get_recording_details, zoom_get_meeting_transcript	A0	-	n
zuohuiyang/dump-analyzer-mcp-server/dump_analyzer_mcp_server	close_analysis_session	Close the analysis session, release all resources, and delete temporary files.		prepare_dump_upload, start_analysis_session, execute_windbg_command, start_async_windbg_command, get_async_windbg_command_status, get_async_windbg_command_result	A0	-	n
KennethanCeyer/build-game-with-ai	capture_visual_observation	시각 검증이 꼭 필요한 경우에만 현재 화면을 캡처합니다.	reason	save_memory, load_memory, diagnose_engine_state, capture_visual_crop, inspect_game_state, apply_input_buffer, adjust_camera_view	A0	-	n
Uri6407/claudegram	get_forum_topics	Список тем в forum-супергруппе.	chat,limit,search,offset_id,offset_topic	health_check, get_server_version, get_telegram_config, get_app_config, get_nearest_dc, get_countries_list, invoke_raw, summarize_chat, get_admin_log, get_stats, create_group, create_channel, join_chat	A0	-	n
Kaago/openpapers-mcp/openpapers	research_topic		query,max_results	search_papers, get_paper, find_oa_pdf, download_pdf	A0	-	n
thamaraiselvam/mcp-jira-confluence	jira_create_issue	Create a new Jira issue (Story, Bug, Task, etc.) in a given project. New issues are created unassigned by default. REQUIRED: Always provide a markdown-formatted description.		search_confluence, get_confluence_page, create_confluence_page, update_confluence_page, add_confluence_comment, get_confluence_page_versions, check_confluence_permissions, jira_search, jira_get_issue,	A2	After jira_create_issue, call jira_get_issue and expect the new issue.	n
Dreamfutura-Stephen/oh-my-deepseek	omd_sessions	List recent OMD sessions with their status and task summaries.		omd_autopilot, omd_team, omd_chat, omd_explore, omd_decisions, omd_memory	A0	-	n
thealphacubicle/boston-core-mcp/boston_opendata_lambda	list_all_datasets	List all available datasets on Boston's Open Data portal without filtering.	limit	search_datasets, get_dataset_info, query_datastore, get_datastore_schema	A0	-	n
Wolfgang-check24/repomix-reader-mcp/tools	read_repomix_output	Read content from a Repomix XML output file with optional line range. Use list_repomix_files to see available file IDs.		grep_repomix_output, list_repomix_files	A0	-	n
Milor123/pubchem-agent-toolkit	search_compounds_by_name	Searches for multiple compounds by name using a smart fallback strategy, one by one, with pauses and retries.	names		A0	-	n
MetaBrain-Labs/ComfyUI-MCP-Server-TypeScript/tools	save_custom_workflow	tool.save_custom_workflow.description		get_core_manual, interrupt_prompt, list_models, mount_workflow, get_prompt_result, queue_custom_prompt, queue_prompt, save_task_assets, get_system_status, cui_get_task_detail, upload_assets, get_workf	A0	-	n
Rumblingb/search-proxy-mcp	search_web		query,max_results	search_news, search_get_page_content	A0	-	n
secure-ssid/centralmcp	update_device_settings	Update device metadata (name, location, notes, banner). device_scope_id required for switch-system path.	serial_number,settings,device_scope_id,dry_run	aos8_status, aos8_login, aos8_logout, aos8_get, aos8_show_command, aos8_list_aps, aos8_list_active_aps, aos8_list_controllers, aos8_list_clients, aos8_find_client, aos8_get_client_detail, aos8_get_cli	A2	After update_device_settings, call aos8_get and expect the changed device metadata.	n
Frihet-io/frihet-mcp/tools	list_recurring_invoices	List all recurring invoice templates. Returns template name, frequency, next scheduled run date, recipient, line items, and active/paused status. / Lista todas las plantillas de fa	limit,offset	period_close_status, period_close, period_reopen, frihet_gl_entry_approve, frihet_gl_entry_reject, frihet_gl_entry_audit_log, frihet_bank_rules_list, frihet_bank_rule_create, list_bank_accounts, get_b	A0	-	n
peakmojo/mcp-server-zoom-noauth/mcp_server_zoom_noauth	zoom_get_recording_details	Get detailed information about a specific Zoom meeting recording including recording files and metadata	zoom_access_token,meeting_id	zoom_refresh_token, zoom_list_recordings, zoom_get_meeting_transcript	A0	-	n
hfujikawa77/ardupilot-mcp-server	get_status			arm, disarm, takeoff, change_mode, get_position, clear_mission, download_mission, upload_star_mission, start_mission	A2	After arm/takeoff/change_mode, call get_status and expect the corresponding state.	n
wavebox/wavebox-browser-control-mcp	get_page_content	Get the text content of the current page		open_url, get_current_tab, list_tabs, close_tab, switch_to_tab, reload_tab, go_back, go_forward, execute_javascript	A2	After open_url or execute_javascript, call get_page_content and expect the resulting page content.	n
hyprmcp/mcp-who-am-i	who-am-i	This tools returns information about the authentication provided with the MCP request. It answers questions like: 'Who am I?', 'Am I authenticated?' or 'What is my username'			A0	-	n
ronantakizawa/search-history-mcp	get_most_visited	Get the most frequently visited sites from browser history.	limit,browser	search_history, get_recent_history	A0	-	n
donlothario/stash_mcp_server/stash_mcp_server	get_all_scenes	Return all scenes from Stash with advanced filtering options.	organized_only,exclude_tags,include_tags,min_rating,max_rating	get_performer_info, get_all_performers, get_all_scenes_from_performer, health_check, advanced_performer_analysis, batch_performer_insights	A0	-	n
Kareem404/eda-agent	upload_csv	Tool for uploading a csv file and saving it in memory	base64_csv	execute_code_geninfo, execute_code_modifying, execute_code_plotting	A0	-	n
albidev/bdh-graph-harness	refresh	Force refresh all embeddings in ChromaDB.	vault_id	query, stats, hebbian, graph	A2	After refresh, call query/search on the same indexed data and expect the refreshed index contents to be observable.	n
knportal/formfill-mcp	list_form_fields	Inspect a PDF and return every fillable field: name, type, current value, and x/y position on the page.	pdf_path,api_key,payment_proof	fill_form, fill_form_multipage, extract_form_data, flatten_form	A2	After fill_form, call list_form_fields and expect the changed current field value.	n
Arun-kc/schemabrain	describe_table		qualified_name	find_relevant_tables, find_relevant_entities, describe_column, get_example_queries, suggest_joins, list_entities, list_metrics, list_joins, describe_entity, resolve_join, get_metric	A0	-	n
FruityMaxine/claude-quotas	check_quota	Read-only: returns the user			A0	-	n
kingabzpro/FastMCP-Project	summarize_paper	Returns a one-paragraph summary of the paper at the given URL.	paper_url	search_arxiv	A0	-	n
prathmeshnik/Obsidian-Notes-MCP-Server	list_folders	Lists all folders and subfolders in the vault, excluding hidden ones.		list_notes, read_note	A0	-	n
bhvbhushan/codeledger/tools	project_usage	Get token usage and costs broken down by project	limit	agent_usage, budget_set, budget_status, cost_optimize, cross_tool_cost, model_stats, skill_usage, usage_summary	A0	-	n
cyanheads/pubchem-mcp-server/mcp-server	pubchem-assay	Summary for a PubChem BioAssay by AID — name, description, source, protocol, and substance counts.	params,aid	pubchem-compound-bioactivity, pubchem-compound-image, pubchem-compound-safety, pubchem-compound-xrefs, pubchem-compound	A0	-	n
lifeodyssey/share-html/worker	describe_share_html	Return the AI-readable Share HTML guide, including routes and safety model.		get_public_share, create_share	A0	-	n
Damien829/aipaygen	execute_skill	Execute a specific skill by name. Use list_skills to see available skills.	skill_name,input_text	wrapper, buy_credits, check_usage, referral_stats, referral_leaderboard, platform_stats, popular_tools, economy_status, free_tier_status, health_history, costs_summary, rss_feed, discover_endpoints, d	A0	-	n
singularityjason/lightning-memory	ln_anomaly_check	Check if a proposed payment amount is normal for a vendor.	vendor,amount_sats	memory_store, memory_query, memory_list, memory_edit, ln_vendor_reputation, ln_spending_summary, memory_sync, memory_export, ln_budget_status, ln_budget_set, ln_budget_check, ln_vendor_trust, ln_prefl	A0	-	n
ychoi-kr/pdf-memo-mcp	extract_annotations_with_context	Compatibility wrapper for highlight mapping.	file_path,page_range,drop_empty	extract_annotations, extract_highlights_with_context, extract_pdf_annotations, read_pdf_text, list_pdf_files, show_accessible_directories	A0	-	n
thejusdutt/deep-search-mcp	deep_search	Performs a comprehensive web search by querying Google, fetching the FULL content from top results using advanced content extraction (Readability algorithm), and returning consolid	query	deep_search_news	A0	-	n
switchbm/claude-redline/redline	request_human_review	# Redline Review Tool	markdown_spec,context,base_dir		A0	-	n
gamaze-labs/hicortex/hicortex	hicortex_delete	Permanently delete a memory and its links. Use when a memory is incorrect and should be removed entirely.	id	hicortex_search, hicortex_get, hicortex_recent, hicortex_ingest, hicortex_lessons, hicortex_index, hicortex_graph, hicortex_update	A2	After hicortex_delete, call hicortex_get/hicortex_search/hicortex_recent and expect the deleted memory to be absent.	n
kdkiss/mcp-stepstone	search_jobs	Search for job listings on Stepstone.de using multiple search terms	search_terms,zip_code,radius	get_job_details	A0	-	n
maverickg59/sushimcp	list_openapi_spec_sources	This tool lists all available source urls where an OpenAPI spec can be fetched.		list_llms_txt_sources, fetch_llms_txt, fetch_openapi_spec, github_projects, github_pull_requests, github_issues	A0	-	n
staurus86/global-design-skill	get_sector_context_tool	Get full design context (required elements, banned patterns, trust signals)	sector,niche	classify_niche_tool, list_sectors_tool, check_banned_patterns_tool, get_quick_diagnosis_tool, learn_from_reference_tool, get_or_learn_sector_tool, list_learned_niches_tool, forget_niche_tool, resolve_	A0	-	n
SpenserCai/echart-mcp-view/mcp	echart_mcp_view_app_build_option			echart_mcp_view_app_examples	A0	-	n
secure-ssid/centralmcp	mist_list_alarms	List recent Mist site alarms with compact severity/time fields.	site_id,severity,duration,limit,start,end,search_after	aos8_status, aos8_login, aos8_logout, aos8_get, aos8_show_command, aos8_list_aps, aos8_list_active_aps, aos8_list_controllers, aos8_list_clients, aos8_find_client, aos8_get_client_detail, aos8_get_cli	A0	-	n
sandraschi/xkcd-mcp/xkcd_mcp	xkcd_random	Fetch a random comic from the entire xkcd collection.		xkcd_latest, xkcd_get, xkcd_search, show_comic_prefab_card, xkcd_help	A0	-	n
Digital-Crew-Technologies/max-mcp-server	linkedin_create_post	Create a LinkedIn post from the connected account.		add_prospects_to_list, agent_draft_create, agent_draft_get, agent_draft_list, apollo_add_more, apollo_create_list, approve_inbox_draft, approve_proposal, archive_campaign, archive_chat, book_meeting, 	A0	-	n
secure-ssid/centralmcp	list_glp_scim_groups	List SCIM user groups with 1-based pagination.	filter,count,start_index	aos8_status, aos8_login, aos8_logout, aos8_get, aos8_show_command, aos8_list_aps, aos8_list_active_aps, aos8_list_controllers, aos8_list_clients, aos8_find_client, aos8_get_client_detail, aos8_get_cli	A0	-	n
pghdma/callrail-mcp/callrail_mcp	form_stats	Server-side form-submission totals via /forms/summary.json.	days,start_date,end_date,company_id,account_id	list_accounts, list_companies, list_trackers, get_tracker, create_tracker, update_tracker, delete_tracker, list_calls, get_call, call_summary, list_form_submissions, list_text_messages, list_users, ge	A0	-	n
caitao-ct/knowledge-base	refresh_index	重新索引知识库（新增/修改文档后调用）		search_knowledge, get_document	A0	-	n
Avatar-stack/plotbase-mcp	search_figures	在 PlotBase 制作档案库中检索图表案例。	query,category,chart_type,framework,tag	list_categories, get_figure_archive, create_figure_archive, recommend_figure, render_figure_template	A0	-	n
JuanCMPDev/mediabox-mcp/chat-core	series	Manage TV series via Sonarr. action:		server_info, media_query, movies, maintenance, present_choices	A0	-	n
Damien829/aipaygen	platform_stats	Get AiPayGen platform statistics: tools, agents, skills, APIs, and usage.		wrapper, buy_credits, check_usage, referral_stats, referral_leaderboard, popular_tools, economy_status, free_tier_status, health_history, costs_summary, rss_feed, discover_endpoints, discover_pricing,	A0	-	n
chandshy/mailpouch	focus	Sender or topic to prioritize		limit, emailId, intent, folder, recipient, sampleCount	A0	-	n
njoerd114/kubecon-eu-mcp/kubecon_eu_mcp	detect_conflicts	Detect scheduling conflicts among selected sessions.	session_uids	search_sessions, get_schedule, find_speaker, find_parties, plan_party_route, get_venue_info, get_hotel_info, get_travel_info, get_colocated_events, get_conference_overview, score_sessions	A0	-	n
tosin2013/documcp	sync_code_to_docs	Automatically synchronize documentation with code changes using AST-based drift detection (Phase 3)	inputSchema,projectPath,docsPath	analyze_repository, recommend_ssg, generate_config, setup_structure, setup_playwright_tests, deploy_site, deploy_pages, verify_deployment, populate_diataxis_content, update_existing_documentation, val	A0	-	n
chandshy/mailpouch	intent	What the reply should say or accomplish		limit, focus, emailId, folder, recipient, sampleCount	A0	-	n
Wintyx57/x402-backend	create_payment_link	Create a shareable payment link (paywall) for any URL. When someone visits the link, they must pay USDC to access the content. Free to create — you earn 95% of each payment.	title,target_url,price_usdc,description	discover_marketplace, search_services, list_services, get_service_schema, find_tool_for_task, call_service, get_wallet_balance, setup_wallet, export_private_key, import_openapi, import_rapidapi, acces	A0	-	n
wundervault/wundervault-mcp	vault_entries_list	List all vault entries available to this agent. Returns entry IDs and secret names only — no secret values. Store the entry ID to reference secrets in vault_entry_get.			A0	-	n
SourceBox-LLC/PrintMCP/printmcp	octoprint_start_print	Select a G-code file already on the server and start printing it.	path,confirm,response_format	cura_slice_model, octoprint_get_status, octoprint_list_files, octoprint_get_job, octoprint_connect, octoprint_upload_file, octoprint_control_job, octoprint_set_temperature, octoprint_home, octoprint_m	A2	After octoprint_start_print, call octoprint_get_job or octoprint_get_status and expect the print job/state.	n
ychoi-kr/pdf-memo-mcp	show_accessible_directories	Return the current directory/configuration constraints as JSON.		extract_annotations, extract_highlights_with_context, extract_pdf_annotations, extract_annotations_with_context, read_pdf_text, list_pdf_files	A0	-	n
burnworks/mcp-a11y-learning-guide	list_available_topics	利用可能なアクセシビリティトピックの一覧を取得します。		search_accessibility_topic, get_wcag_criterion	A0	-	n
signalclaude/interagent	get_all_statuses	Dashboard view of all agent statuses.		register_agent, list_agents, get_agent, send_message, check_inbox, read_message, reply_message, escalate, publish_spec, get_spec, list_specs, set_status, get_status	A0	-	n
cablate/mcp-google-gmail/services	email_reader	Read specified number of emails with various filter conditions		email_formatter, email_search	A0	-	n
AryanBV/pdf-toolkit-mcp/tools	pdf_create_from_template	Create a polished PDF from a named template (invoice, report, or letter). Pass structured data matching the template's fields; data is validated against the template's schema.		pdf_create, pdf_fill_form, pdf_add_watermark, pdf_embed_image, pdf_create_from_markdown, pdf_flatten, pdf_merge, pdf_split, pdf_rotate_pages, pdf_encrypt, pdf_compare, pdf_add_page_numbers, pdf_embed_	A0	-	n
andresdefi/zerodust/langchain	zerodust_get_quote	Get a quote for sweeping native gas tokens from one chain. Returns the estimated amount the user will receive, fee breakdown, and a quote ID. Quotes expire in 60 seconds.	schema	zerodust_info, zerodust_get_chains, zerodust_get_balances, zerodust_get_sweep_status, zerodust_list_sweeps	A0	-	n
joshuasundance-swca/govgis_nov2023-slim-spatial-server	gis_layer_search		request		A0	-	n
getzikra/Zikra	zikra_log_run	Log a completed prompt run with token usage	project,runner,prompt_name,status,output_summary,tokens_input,tokens_output,cost	zikra_search, zikra_save_memory, zikra_get_prompt, zikra_log_error, zikra_save_requirement, zikra_list_requirements, zikra_get_memory, zikra_delete_memory, zikra_get_schema, zikra_promote_requirement,	A2	After zikra_log_run, call zikra_search and expect the logged run to be retrievable.	n
scthornton/panw-mcp-claude	pan_inline_scan	Scan a single prompt/response pair for security threats	prompt,response	pan_batch_scan, pan_get_scan_results, pan_get_scan_reports	A0	-	n
angrysky56/textualize-mcp	debug_running_apps	Debug tool to see what's actually stored in running_apps.		list_apps, launch_app, get_app_info, terminate_app, get_app_status, list_running_apps, capture_app_screen, send_input_to_app, get_app_state, create_interactive_session, read_app_output, capture_termin	A0	-	n
staurus86/global-design-skill	list_sectors_tool	List all 13 available sectors with descriptions.		classify_niche_tool, get_sector_context_tool, check_banned_patterns_tool, get_quick_diagnosis_tool, learn_from_reference_tool, get_or_learn_sector_tool, list_learned_niches_tool, forget_niche_tool, re	A0	-	n
black22345/commune-cookbook	commune_tag_thread	Add tags to an email thread for organization.		list_email_threads, get_thread_messages, send_email, reply_to_thread, search_emails, send_sms, list_sms_conversations, get_sms_thread, commune_list_inboxes, commune_create_inbox, commune_list_threads,	A2	After commune_tag_thread, call commune_list_threads and expect the thread's tag state to be reflected.	n
Xrondev/mcp-dida365	complete_task	Complete a task.	project_id,task_id	get_projects, get_project_by_id, get_project_details, filter_project_tasks, create_project, update_project, delete_project, get_task_by_id, create_task, update_task, delete_task	A2	After complete_task, call get_task_by_id and expect the task status to be completed.	n
Abhinavexists/MCP_Server	get_forcast	Get weather forecast for a location.	latitude,longitude	get_alerts	A0	-	n
Context42-io/context42/context42	search	Search personal coding instructions using vector similarity with priority weighting.	query,top_k		A0	-	n
Damien829/aipaygen	mock	Generate mock/sample data.	description,count,format	wrapper, buy_credits, check_usage, referral_stats, referral_leaderboard, platform_stats, popular_tools, economy_status, free_tier_status, health_history, costs_summary, rss_feed, discover_endpoints, d	A0	-	n
ronantakizawa/search-history-mcp	search_history	Search browser history for URLs and titles containing the search term.	search_term,limit,browser	get_recent_history, get_most_visited	A0	-	n
ghostvyle/Unburden	people_breach_check	🔓 Check if email appears in known data breaches (Have I Been Pwned).	email	list_exploits, list_payloads, generate_payload, run_exploit, run_auxiliary_module, list_active_sessions, send_session_command, attach_session_interactive, list_listeners, start_listener, stop_job, ter	A0	-	n
Frihet-io/frihet-mcp/tools	update_vendor	Update an existing vendor using PATCH semantics. Only the provided fields will be changed. Example: id='abc123', email='new@supplier.com', phone='+34600123456' / Actualiza un prove	id,name,email,phone,taxId	period_close_status, period_close, period_reopen, frihet_gl_entry_approve, frihet_gl_entry_reject, frihet_gl_entry_audit_log, frihet_bank_rules_list, frihet_bank_rule_create, list_bank_accounts, get_b	A0	-	n
Knuckles-Team/audio-transcriber	transcribe_audio	Transcribes audio from a provided file or by recording from the microphone.	audio_file,record_seconds,directory,model,language,task,fp16,word_timestamps,tem	health_check, audio_ingest_transcription	A0	-	n
