server_id	tool	description	label_A	label_B	check_A	check_B
reminia/task-tracker/task_tracker	get_my_tasks	Get the Linear tasks assigned to me. Support task status: backlog, unstarted, started, completed, canceled, triage.Default is started and unstarted.	A0	A2	-	call search_tasks/get_active_tracking and verify task status
roccoangelella/PiLink	agent_work_list	List durable collaboration work lifecycles and public session IDs. Only a server-verified manager role may use this to identify workers that can be explicitly released.	A0	A2	-	call agent_memory_get/manifest or read and verify the lifecycle/session state
samueljayasingh/WhatsAppMCP	download_media	Download media from a WhatsApp message and get the local file path.	A0	A2	-	call list_messages/get_message_context for the same message and verify the media reference
samueljayasingh/WhatsAppMCP	list_messages	Get WhatsApp messages matching specified criteria with optional context.	A0	A2	-	call get_chat/get_message_context and verify the messages after a send
secure-ssid/centralmcp	update_device_settings	Update device metadata (name, location, notes, banner). device_scope_id required for switch-system path.	A2	A0	After update_device_settings, call aos8_get and expect the changed device metadata.	-
signalclaude/interagent	get_all_statuses	Dashboard view of all agent statuses.	A0	A2	-	call get_status/get_agent and verify the registered agent state
tosin2013/documcp	sync_code_to_docs	Automatically synchronize documentation with code changes using AST-based drift detection (Phase 3)	A0	A2	-	call verify_deployment/analyze_repository and verify the documentation reflects the synchronized code
vilasone455/vscode-context-mcp/tools	get_open_tabs	Retrieve a list of all open tabs/editors in VS Code.	A0	A2	-	call read_file/get_current_file and verify the open-file state
whyy9527/ariadne	query_chains	Query cross-service chains by business term or endpoint name. Returns candidate clusters of related GraphQL operations, HTTP endpoints, Kafka topics, and frontend queries across al	A2	A0	After rescan, call query_chains and expect results from the refreshed index.	-
zuohuiyang/dump-analyzer-mcp-server/dump_analyzer_mcp_server	close_analysis_session	Close the analysis session, release all resources, and delete temporary files.	A0	A2	-	call get_async_windbg_command_status/result and verify the analysis session state
zuohuiyang/dump-analyzer-mcp-server/dump_analyzer_mcp_server	start_analysis_session	Start a crash dump analysis session and load the dump file and symbols. sym_noisy defaults to true so the session enables !sym noisy before later commands. For hosts without visibl	A0	A2	-	call get_async_windbg_command_status/result and verify the analysis session state
